Quote	Verb	Type	Author	Title	Page	Original Publication Date	Original Publisher	Reprint Collection	Reprint Publisher	Reprint Publication Date	Pseudonymn																
"[A] calm desperation came over her. She braced herself, physically and mentally."	dry	literature	Nella Larsen	Passing	213	1929	A. A. Knopf																				
"[S]he did not cry. She did not, of course, realize that she was to stay here indefinitely, but if she had, even at that age she would hardly have shed tears, she was always too eager, too curious to know, to taste what was going to happen next."	scoop	literature	Jessie Redmon Fauset	"""The Sleeper Wakes"" "	2	1920	The Crisis	The Sleeper Wakes: Harlem Rennaissance Stories by Women	Rutgers University Press	1993																	
"[W]omen forget all those things they don't want to remember, and remember everything they don't want to forget. The dream is the truth."	open	literature	Zora Neale Hurston	Their Eyes Were Watching God	1	1937	"J.B. Lippincott, Inc."		Harper Perennial	2006																	
A little war of defense for helpless things was going on inside her.	move	literature	Zora Neale Hurston	Their Eyes Were Watching God	57	1937	"J.B. Lippincott, Inc."		Harper Perennial	2006																	
"A woman who deals in poison cannot be trusted, whatever she says."	mix	literature	Mary Ellen Bamford	Father Lambert's Family: A Story of Old-Time France	63	1888	Phillips & Hunt																				
"Alert for any sound of footfalls nigh, she holds her breath to listen. Her right hand rests on a long knife in her belt."	cut	literature	Zitk‡la-_‡	"""A Warrior's Daughter,"" American Indian Stories"	146	1921	Hayworth Publishing				Gertrude Bonnin																
"And did too much striving, too much faith in safety and permancence, unfit one for these other things?"	insert	literature	Nella Larsen	Passing	200	1929	A. A. Knopf																				
"Don't shut yourself up in a bandbox because you are a woman, but understand what is going on, and educate yourself to take your part in the world's work, for it all affects you and yours."	take	literature	Louisa May Alcott	"Little Women or Meg, Jo, Beth, and Amy"	370	1868-69	Roberts Brothers		"Sampson Low, Marston, Low, and Searle"	1872																	
"For a moment she stood puzzled and helpless. Something she did not understand was troubling, something in which she could not help."	peel	literature	Kate Langley Bosher	How It Happened	17	1914	Harper & Brothers																				
"For the first time in many years the tired woman rested, body and heart and brain."	move	literature	Isabella Macdonald Alden	The King's Daughter	13	1873	D. Lothrop & Co.		Creation House	1992																	
"For the first time she suffered and rebelled because she was unable to disregard the burden of race. It was, she cried silently, enough to suffer as a woman, an individual, on one's own account, without having to suffer for the race as well."	squeeze	literature	Nella Larsen	Passing	181	1929	A. A. Knopf																				
From her unerring long knife the enemy falls heavily at her feet.	cut	literature	Zitk‡la-_‡	"""A Warrior's Daughter,"" American Indian Stories"	151	1921	Hayworth Publishing				Gertrude Bonnin																
From now on until death she was going to have flower dust and springtime sprinkled over everything.	pour	literature	Zora Neale Hurston	Their Eyes Were Watching God	32	1937	"J.B. Lippincott, Inc."		Harper Perennial	2006																	
"Gradually she began to comprehend, and she stood motionless, listening, her pale lips firmly compressed, her eyes only showing her agitation and how grieved she was; their dark-blue was almost black, and they glowed like stars."	put	literature	Mar’a Amparo Ruiz de Burton	The Squatter and the Don	269	1885	C. Loyal																				
Her face had beamed with the pleasure of doing good.	wash	literature	Anzia Yezierska	Arrogant Beggar	104	1927	Double Day																				
"Her old thoughts were going to come in handy now, but new words would have to be made and said to fit them."	mix	literature	Zora Neale Hurston	Their Eyes Were Watching God	32	1937	"J.B. Lippincott, Inc."		Harper Perennial	2006																	
"I did not admire clever business women, as I had usually found them, and so had other girls of my acquaintence, not nearly so kind-hearted, generous, and helpful as the humble drudges of the world - the ordinary working woman."	empty	literature	Edith Maude Eaton	"""The Story of One White Woman who Married a Chinese,"" Mrs. Spring Fragrance"	112-113	1912	McClurg & Co.				Sui Sin Far																
I don't even remember of feeling 'drunk.' What kind of a feeling is it? 	shake	literature	S. Alice Callahan	Wynema: A Child of the Forest	43	1891	H.J. Smith 		University Nebraska Press	1997																	
I loved her because she gave up so much of herself. But I knew I could never never be like that.	fill	literature	Anzia Yezierska	Arrogant Beggar	19	1927	Double Day																				
If only women could bring into their homes this self-sacrificing attitude toward life! Isn't just as satisfying to the soul to feel you have scrubbed a floor faithfully as to be mistress of the house?	put	literature	Anzia Yezierska	Arrogant Beggar	77	1927	Double Day																				
"Intuitions are given to women, not because they are the weaker sex, but because they are the mothers of the world, and they are thus given the strongest protection against unseen and unseeable evils."	wash	literature	Lilian Lida Bell	Angela's Quest	135	1910	Duffield & Co.				Mrs. Arthur Hoyte Bogue																
"It was a glorious thing for a girl, she said, wasn't it, to be associated with such a life as that?"	open	literature	Edith Wharton	"""The Portait,"" The Greater Inclination"	241	1899	Charles Scribner's Sons																				
It was impossible for her daughter to forget that a woman of intellectual power could be the most successful of mothers. 	dry	literature	Elizabeth Stuart Phelps	Chapters from a Life	12	1896	Houghton Miflin		Houghton and Co.	1897																	
"It was thought she might be eclipsed by the younger and more brilliant women students on the strength of their alma mater, but she still held her own by sheer force of will-power and indomitable pluck."	take	literature	Pauline E. Hopkins	Contending Forces: A Romance Illustrative of Negro Life North and South	148	1900	The Colored Co-operative Publishing																				
"Never forgetting that by birth she was a gentlewoman, she cultivated her aristocratic tastes and feelings, so that when the opportunity came, she might be ready to take the place from which poverty now excluded her."	take	literature	Louisa May Alcott	"Little Women or Meg, Jo, Beth, and Amy"	242	1868-69	Roberts Brothers		"Sampson Low, Marston, Low, and Searle"	1872																	
