filename	verb	noun
adjust_chair_P23_03	adjust	chair
adjust_collarshirt_P30_04	adjust	collarshirt
adjust_cooker_P13_08	adjust	cooker
adjust_cooker_P22_07	adjust	cooker
adjust_cooker_P22_08	adjust	cooker
adjust_cooker_P22_16	adjust	cooker
adjust_cooker_P24_08	adjust	cooker
adjust_cooker_P26_21	adjust	cooker
adjust_cooker_P28_11	adjust	cooker
adjust_cooker_P28_13	adjust	cooker
adjust_flame_P24_05	adjust	flame
adjust_flame_P24_08	adjust	flame
adjust_flame_P26_12	adjust	flame
adjust_flame_P26_21	adjust	flame
adjust_flame_P26_22	adjust	flame
adjust_flamecooker_P24_02	adjust	flamecooker
adjust_flamestove_P24_08	adjust	flamestove
adjust_fork_P29_03	adjust	fork
adjust_gas_P30_05	adjust	gas
adjust_heat_P08_05	adjust	heat
adjust_heat_P08_21	adjust	heat
adjust_heat_P22_07	adjust	heat
adjust_heat_P24_05	adjust	heat
adjust_heat_P29_01	adjust	heat
adjust_hob_P01_01	adjust	hob
adjust_hob_P01_05	adjust	hob
adjust_hob_P01_09	adjust	hob
adjust_hob_P01_18	adjust	hob
adjust_hop_P01_05	adjust	hop
adjust_hop_P01_18	adjust	hop
adjust_ladle_P29_03	adjust	ladle
adjust_levelwater_P23_04	adjust	levelwater
adjust_light_P01_03	adjust	light
adjust_light_P01_07	adjust	light
adjust_light_P01_09	adjust	light
adjust_machinecoffee_P29_03	adjust	machinecoffee
adjust_meat_P20_01	adjust	meat
adjust_microwave_P05_02	adjust	microwave
adjust_mug_P29_03	adjust	mug
adjust_plate_P12_06	adjust	plate
adjust_poster_P01_18	adjust	poster
adjust_stove_P13_08	adjust	stove
adjust_stove_P22_07	adjust	stove
adjust_stove_P22_16	adjust	stove
adjust_tap_P22_07	adjust	tap
adjust_tap_P30_04	adjust	tap
adjust_temperature_P08_01	adjust	temperature
adjust_temperature_P08_21	adjust	temperature
adjust_temperature_P20_01	adjust	temperature
adjust_temperaturegas_P30_05	adjust	temperaturegas
adjust_temperaturegas_P30_10	adjust	temperaturegas
adjust_top_P01_02	adjust	top
adjust_tray_P29_03	adjust	tray
adjust_vegetable_P01_01	adjust	vegetable
check_box_P10_04	check	box
check_burgertuna_P04_03	check	burgertuna
check_cherryfrozen_P08_21	check	cherryfrozen
check_chicken_P25_09	check	chicken
check_clothes_P08_12	check	clothes
check_coffee_P08_01	check	coffee
check_coffee_P08_21	check	coffee
check_coffee_P24_01	check	coffee
check_coffee_P24_04	check	coffee
check_coffee_P31_06	check	coffee
check_cooker_P28_11	check	cooker
check_finger_P10_04	check	finger
check_fish_P10_04	check	fish
check_flour_P06_03	check	flour
check_food_P03_04	check	food
check_heat_P08_21	check	heat
check_heatcooker_P24_01	check	heatcooker
check_kettle_P06_03	check	kettle
check_kiwi_P08_23	check	kiwi
check_machinewashing_P03_03	check	machinewashing
check_machinewashing_P03_08	check	machinewashing
check_meat_P24_02	check	meat
check_microwave_P21_04	check	microwave
check_mixture_P08_05	check	mixture
check_oil_P01_09	check	oil
check_oil_P01_18	check	oil
check_oil_P08_24	check	oil
check_oven_P06_07	check	oven
check_packagepopcorn_P05_02	check	packagepopcorn
check_pan_P04_20	check	pan
check_paprika_P28_06	check	paprika
check_piecefish_P10_04	check	piecefish
check_pizza_P01_09	check	pizza
check_plantbasil_P01_09	check	plantbasil
check_pot_P10_04	check	pot
check_potato_P01_05	check	potato
check_potato_P08_23	check	potato
check_potcoffee_P24_01	check	potcoffee
check_potcoffee_P25_12	check	potcoffee
check_refrigerator_P10_04	check	refrigerator
check_rim_P03_19	check	rim
check_saucepan_P03_13	check	saucepan
check_seal_P03_19	check	seal
check_spillcoffee_P24_01	check	spillcoffee
check_stove_P02_03	check	stove
check_table_P21_04	check	table
check_temperaturewater_P29_03	check	temperaturewater
check_time_P04_11	check	time
check_time_P29_03	check	time
check_time_P30_03	check	time
check_tortilla_P07_09	check	tortilla
check_tortilla_P21_01	check	tortilla
check_tuna_P04_03	check	tuna
check_watch_P29_01	check	watch
check_water_P01_09	check	water
check_water_P06_03	check	water
check_water_P29_03	check	water
cut_aubergine_P28_04	cut	aubergine
cut_aubergine_P28_05	cut	aubergine
cut_avocado_P28_09	cut	avocado
cut_bacon_P13_08	cut	bacon
cut_bag_P07_10	cut	bag
cut_bagpasta_P02_03	cut	bagpasta
cut_bagplastic_P08_03	cut	bagplastic
cut_bagplastic_P08_05	cut	bagplastic
cut_bagplastic_P08_21	cut	bagplastic
cut_bagpotato_P07_10	cut	bagpotato
cut_banana_P22_05	cut	banana
cut_banana_P22_12	cut	banana
cut_banana_P24_01	cut	banana
cut_bitchilli_P08_23	cut	bitchilli
cut_bread_P28_14	cut	bread
cut_bread_P31_01	cut	bread
cut_breastchicken_P06_09	cut	breastchicken
cut_broccoli_P02_03	cut	broccoli
cut_cabbage_P15_13	cut	cabbage
cut_caper_P24_05	cut	caper
cut_carrot_P01_01	cut	carrot
cut_carrot_P01_17	cut	carrot
cut_carrot_P04_02	cut	carrot
cut_carrot_P08_05	cut	carrot
cut_carrot_P22_16	cut	carrot
cut_carrot_P24_07	cut	carrot
cut_carrot_P28_04	cut	carrot
cut_carrot_P28_05	cut	carrot
cut_celery_P01_01	cut	celery
cut_cheese_P06_07	cut	cheese
cut_cheese_P08_01	cut	cheese
cut_cheese_P28_01	cut	cheese
cut_cheese_P28_14	cut	cheese
cut_cheese_P31_01	cut	cheese
cut_cheese_P31_08	cut	cheese
cut_chicken_P03_04	cut	chicken
cut_chilli_P07_10	cut	chilli
cut_chilli_P08_23	cut	chilli
cut_chorizo_P04_11	cut	chorizo
cut_chunkpear_P08_08	cut	chunkpear
cut_coriander_P07_10	cut	coriander
cut_courgette_P01_01	cut	courgette
cut_courgette_P22_07	cut	courgette
cut_courgette_P28_04	cut	courgette
cut_courgette_P28_05	cut	courgette
cut_cubestock_P30_05	cut	cubestock
cut_cucumber_P04_02	cut	cucumber
cut_cucumber_P10_01	cut	cucumber
cut_dough_P01_09	cut	dough
cut_dough_P06_07	cut	dough
cut_fish_P10_04	cut	fish
cut_fish_P16_01	cut	fish
cut_garlic_P10_04	cut	garlic
cut_garlic_P23_04	cut	garlic
cut_ginger_P10_04	cut	ginger
cut_ginger_P23_04	cut	ginger
cut_ginger_P30_05	cut	ginger
cut_ham_P07_04	cut	ham
cut_kiwi_P08_20	cut	kiwi
cut_kiwi_P08_27	cut	kiwi
cut_leaf_P04_10	cut	leaf
cut_leaf_P08_23	cut	leaf
cut_leafsalad_P08_23	cut	leafsalad
cut_leafspinach_P08_23	cut	leafspinach
cut_leek_P10_04	cut	leek
cut_lemon_P26_02	cut	lemon
cut_lemon_P31_05	cut	lemon
cut_lettuce_P01_17	cut	lettuce
cut_lettuce_P10_04	cut	lettuce
cut_lettuce_P22_16	cut	lettuce
cut_lettuce_P24_07	cut	lettuce
cut_lettuce_P25_09	cut	lettuce
cut_lime_P30_05	cut	lime
cut_loaf_P08_01	cut	loaf
cut_meat_P02_09	cut	meat
cut_meat_P20_01	cut	meat
cut_meat_P24_02	cut	meat
cut_meat_P24_07	cut	meat
cut_melon_P24_01	cut	melon
cut_mushroom_P01_18	cut	mushroom
cut_noodleinstant_P10_01	cut	noodleinstant
cut_olive_P01_17	cut	olive
cut_olive_P24_08	cut	olive
cut_olive_P31_13	cut	olive
cut_onion_P01_01	cut	onion
cut_onion_P01_09	cut	onion
cut_onion_P03_04	cut	onion
cut_onion_P04_02	cut	onion
cut_onion_P07_10	cut	onion
cut_onion_P08_05	cut	onion
cut_onion_P10_04	cut	onion
cut_onion_P13_08	cut	onion
cut_onion_P15_02	cut	onion
cut_onion_P15_09	cut	onion
cut_onion_P15_13	cut	onion
cut_onion_P22_07	cut	onion
cut_onion_P22_16	cut	onion
cut_onion_P23_01	cut	onion
cut_onion_P23_03	cut	onion
cut_onion_P24_05	cut	onion
cut_onion_P24_08	cut	onion
cut_onion_P26_21	cut	onion
cut_onion_P28_04	cut	onion
cut_onionnew_P23_01	cut	onionnew
cut_onionspring_P08_23	cut	onionspring
cut_onionspring_P10_02	cut	onionspring
cut_onionspring_P28_04	cut	onionspring
cut_onionspring_P28_09	cut	onionspring
cut_packagebread_P28_10	cut	packagebread
cut_packagemozzarella_P24_08	cut	packagemozzarella
cut_packageparsley_P28_06	cut	packageparsley
cut_packagepizza_P13_06	cut	packagepizza
cut_packagingmeat_P02_09	cut	packagingmeat
cut_packagingsalami_P20_03	cut	packagingsalami
cut_packet_P04_23	cut	packet
cut_packetchicken_P04_10	cut	packetchicken
cut_paneer_P04_04	cut	paneer
cut_paperbaking_P01_09	cut	paperbaking
cut_peach_P22_05	cut	peach
cut_peach_P22_12	cut	peach
cut_pear_P08_08	cut	pear
cut_pear_P08_27	cut	pear
cut_peeling_P22_05	cut	peeling
cut_pepper_P04_23	cut	pepper
cut_pepper_P28_04	cut	pepper
cut_pepperbell_P08_05	cut	pepperbell
cut_pepperbell_P08_23	cut	pepperbell
cut_pieceginger_P20_04	cut	pieceginger
cut_pineapple_P31_03	cut	pineapple
cut_pit_P22_05	cut	pit
cut_pith_P04_10	cut	pith
cut_pizza_P01_09	cut	pizza
cut_pizza_P01_10	cut	pizza
cut_pizza_P13_07	cut	pizza
cut_potato_P04_04	cut	potato
cut_potato_P07_10	cut	potato
cut_potato_P08_24	cut	potato
cut_potato_P15_02	cut	potato
cut_potato_P15_09	cut	potato
cut_potato_P28_04	cut	potato
cut_salad_P08_05	cut	salad
cut_salad_P31_08	cut	salad
cut_sandwich_P03_09	cut	sandwich
cut_sauce_P10_01	cut	sauce
cut_skin_P08_05	cut	skin
cut_skin_P08_24	cut	skin
cut_skin_P22_12	cut	skin
cut_skinonion_P08_05	cut	skinonion
cut_skinpotato_P08_24	cut	skinpotato
cut_slicelemon_P08_19	cut	slicelemon
cut_slicemozzarella_P24_08	cut	slicemozzarella
cut_slicepotato_P04_04	cut	slicepotato
cut_spatula_P04_02	cut	spatula
cut_squash_P01_18	cut	squash
cut_stickcrab_P16_01	cut	stickcrab
cut_thighchicken_P04_10	cut	thighchicken
cut_timethird_P10_04	cut	timethird
cut_tofu_P01_01	cut	tofu
cut_tomato_P07_10	cut	tomato
cut_tomato_P08_01	cut	tomato
cut_tomato_P19_01	cut	tomato
cut_tomato_P19_04	cut	tomato
cut_tomato_P22_16	cut	tomato
cut_tomato_P23_04	cut	tomato
cut_tomato_P24_07	cut	tomato
cut_tomatocherry_P28_09	cut	tomatocherry
cut_tortilla_P08_05	cut	tortilla
cut_wrap_P08_06	cut	wrap
empty_bag_P22_09	empty	bag
empty_bag_P22_17	empty	bag
empty_bottle_P22_10	empty	bottle
empty_bottle_P22_17	empty	bottle
empty_bottle_P30_05	empty	bottle
empty_bottlemilk_P05_03	empty	bottlemilk
empty_bowl_P01_09	empty	bowl
empty_bowl_P22_14	empty	bowl
empty_bowl_P22_17	empty	bowl
empty_bowl_P24_03	empty	bowl
empty_bowl_P29_03	empty	bowl
empty_bowlsalad_P22_10	empty	bowlsalad
empty_bowlsalad_P22_15	empty	bowlsalad
empty_bowlsalad_P22_17	empty	bowlsalad
empty_box_P30_05	empty	box
empty_boxlunch_P03_02	empty	boxlunch
empty_can_P15_13	empty	can
empty_can_P22_11	empty	can
empty_carafe_P22_05	empty	carafe
empty_carafe_P22_13	empty	carafe
empty_coffee_P07_04	empty	coffee
empty_cupflour_P02_09	empty	cupflour
empty_cupmeasuring_P01_09	empty	cupmeasuring
empty_dish_P30_10	empty	dish
empty_dishwasher_P04_09	empty	dishwasher
empty_egg_P07_04	empty	egg
empty_filter_P22_06	empty	filter
empty_filter_P22_08	empty	filter
empty_filter_P22_13	empty	filter
empty_filter_P22_17	empty	filter
empty_filtersink_P22_08	empty	filtersink
empty_flour_P02_09	empty	flour
empty_glass_P22_10	empty	glass
empty_glass_P22_17	empty	glass
empty_jar_P22_11	empty	jar
empty_jug_P29_03	empty	jug
empty_jug_P30_03	empty	jug
empty_kettle_P05_04	empty	kettle
empty_kettle_P22_07	empty	kettle
empty_mug_P29_01	empty	mug
empty_mug_P30_05	empty	mug
empty_mug_P30_10	empty	mug
empty_oilolive_P02_06	empty	oilolive
empty_packcheese_P21_03	empty	packcheese
empty_packet_P04_04	empty	packet
empty_pan_P01_02	empty	pan
empty_pan_P01_09	empty	pan
empty_pan_P01_18	empty	pan
empty_pan_P01_19	empty	pan
empty_pan_P13_09	empty	pan
empty_pan_P22_17	empty	pan
empty_pitcher_P22_13	empty	pitcher
empty_plug_P03_20	empty	plug
empty_pot_P22_08	empty	pot
empty_pot_P24_06	empty	pot
empty_potcoffee_P24_01	empty	potcoffee
empty_raisinmore_P29_01	empty	raisinmore
empty_rice_P07_11	empty	rice
empty_saucepan_P01_06	empty	saucepan
empty_saucepan_P01_18	empty	saucepan
empty_saucepan_P01_19	empty	saucepan
empty_saucepan_P22_14	empty	saucepan
empty_saucepan_P24_06	empty	saucepan
empty_saucepan_P30_10	empty	saucepan
empty_saucepan_P30_11	empty	saucepan
empty_sink_P02_02	empty	sink
empty_sink_P02_04	empty	sink
empty_sink_P02_06	empty	sink
empty_sink_P02_09	empty	sink
empty_spoon_P02_09	empty	spoon
empty_spoon_P04_01	empty	spoon
empty_v60_P30_03	empty	v60
empty_water_P02_01	empty	water
empty_water_P02_04	empty	water
empty_water_P02_06	empty	water
empty_water_P02_09	empty	water
empty_water_P05_03	empty	water
empty_water_P28_06	empty	water
empty_water_P30_05	empty	water
fill_bin_P03_02	fill	bin
fill_bottle_P03_02	fill	bottle
fill_bottle_P03_09	fill	bottle
fill_bottle_P03_19	fill	bottle
fill_bottle_P03_28	fill	bottle
fill_bottle_P22_10	fill	bottle
fill_bottle_P22_17	fill	bottle
fill_bowlsalad_P22_10	fill	bowlsalad
fill_bowlsalad_P22_17	fill	bowlsalad
fill_box_P30_05	fill	box
fill_carafe_P22_13	fill	carafe
fill_container_P22_05	fill	container
fill_filterwater_P02_02	fill	filterwater
fill_glass_P02_05	fill	glass
fill_glass_P02_09	fill	glass
fill_glass_P03_13	fill	glass
fill_glass_P03_27	fill	glass
fill_glass_P22_17	fill	glass
fill_jar_P22_08	fill	jar
fill_jar_P22_11	fill	jar
fill_kettle_P02_03	fill	kettle
fill_kettle_P02_09	fill	kettle
fill_kettle_P03_04	fill	kettle
fill_kettle_P03_05	fill	kettle
fill_kettle_P03_16	fill	kettle
fill_kettle_P05_06	fill	kettle
fill_kettle_P05_08	fill	kettle
fill_kettle_P22_07	fill	kettle
fill_kettle_P30_03	fill	kettle
fill_kettle_P30_05	fill	kettle
fill_kettle_P30_06	fill	kettle
fill_liquid_P02_09	fill	liquid
fill_moka_P22_08	fill	moka
fill_mug_P02_06	fill	mug
fill_mug_P30_04	fill	mug
fill_mug_P30_05	fill	mug
fill_mug_P30_10	fill	mug
fill_nozzlecoffee_P31_04	fill	nozzlecoffee
fill_pan_P02_03	fill	pan
fill_pan_P22_17	fill	pan
fill_pan_P29_03	fill	pan
fill_pan_P30_05	fill	pan
fill_potcoffee_P24_01	fill	potcoffee
fill_roll_P31_13	fill	roll
fill_saucepan_P03_19	fill	saucepan
fill_saucepan_P03_20	fill	saucepan
fill_saucepan_P04_04	fill	saucepan
fill_saucepan_P22_08	fill	saucepan
fill_saucepan_P26_04	fill	saucepan
fill_saucepan_P26_21	fill	saucepan
fill_saucepan_P30_10	fill	saucepan
fill_squash_P03_04	fill	squash
fill_tin_P28_06	fill	tin
fill_water_P02_01	fill	water
fill_water_P02_03	fill	water
fill_water_P02_06	fill	water
flip_aubergine_P01_09	flip	aubergine
flip_bread_P04_06	flip	bread
flip_breastchicken_P26_02	flip	breastchicken
flip_burgertuna_P04_02	flip	burgertuna
flip_burgertuna_P04_03	flip	burgertuna
flip_dough_P06_07	flip	dough
flip_grindercoffee_P22_11	flip	grindercoffee
flip_meat_P20_01	flip	meat
flip_meat_P20_04	flip	meat
flip_meat_P24_02	flip	meat
flip_oat_P08_21	flip	oat
flip_pan_P08_21	flip	pan
flip_pan_P15_03	flip	pan
flip_piecemeat_P20_04	flip	piecemeat
flip_sausage_P01_05	flip	sausage
flip_spatula_P20_01	flip	spatula
flip_tongs_P03_11	flip	tongs
flip_tortilla_P07_08	flip	tortilla
flip_tortilla_P07_09	flip	tortilla
flip_tortilla_P15_03	flip	tortilla
