filename	verb	noun
open_bag_P01_09	open	bag
open_bag_P03_02	open	bag
open_bag_P04_02	open	bag
open_bag_P08_21	open	bag
open_bag_P22_07	open	bag
open_bag_P30_02	open	bag
open_bag_P02_01	open	bag
open_bag_P03_03	open	bag
open_bag_P04_10	open	bag
open_bag_P10_04	open	bag
open_bag_P22_16	open	bag
open_bag_P30_05	open	bag
open_bag_P02_03	open	bag
open_bag_P03_04	open	bag
open_bag_P07_04	open	bag
open_bag_P14_01	open	bag
open_bag_P24_05	open	bag
open_bag_P30_06	open	bag
open_bag_P02_06	open	bag
open_bag_P04_01	open	bag
open_bag_P07_10	open	bag
open_bag_P20_04	open	bag
open_bag_P24_07	open	bag
open_bag_P31_01	open	bag
